query,answer,response,eval_scores,guardrails_triggered,judge_ruling,judge_reasoning
what age counts as a kid for Kids Fly Free? do lap kids count?,Frontier defines a “kid” as anyone 14 years of age or younger on the first day of travel. Lap children who meet this age requirement do qualify for Kids Fly Free.,"For Frontier Airlines' Kids Fly Free program, a ""kid"" is defined as anyone 14 years of age or younger on the first day of travel. Lap children do qualify for the Kids Fly Free offer, but they should be booked as a child instead of a lap child at the time of the initial booking.","{""query_ease"": 0.9965061423000454, ""brand_safety"": 0.9930258268484197, ""trustworthiness"": 0.9837920553773909, ""topic_restriction"": 0.996517287613717, ""context_sufficiency"": 0.9965174129353632, ""suspicious_activity"": 0.996517412939576, ""response_helpfulness"": 0.9962270711304192, ""response_groundedness"": 0.9965174129357558}",[],pass,The agent_output states that a “kid” is anyone 14 years of age or younger on the first day of travel and says lap children do qualify for Kids Fly Free—this matches the expected answer. The added note about booking lap children as a child does not contradict the expected answer. Therefore it meets the criteria.
"if i change my flight after booking will i lose the Kids Fly Free fare, and are baggage fees included for the free kid?","If you change your flight after the initial booking, you will lose the Kids Fly Free promotion. The Kids Fly Free offer is only valid for the initial booking and does not include baggage, seats, or other travel add-ons. These additional services must be purchased separately.","If you change your flight after the initial booking, you will lose the Kids Fly Free promotion. The Kids Fly Free offer is only valid for the initial booking and does not include baggage, seats, or other travel add-ons. These additional services must be purchased separately.","{""query_ease"": 0.9965029414445049, ""brand_safety"": 0.9908129923673227, ""trustworthiness"": 0.9989981555558045, ""topic_restriction"": 0.9965174129392511, ""context_sufficiency"": 0.9965174129354308, ""suspicious_activity"": 0.9965174129368728, ""response_helpfulness"": 0.9965173848009676, ""response_groundedness"": 0.9965174129354509}",[],pass,"The agent output directly answers the query: it states that changing the flight after booking will cause loss of the Kids Fly Free promotion, that the promotion is only valid for the initial booking, and that baggage, seats, and other add-ons are not included and must be purchased separately. This matches the expected answer, attempts to answer (not 'I don't know'), and contains no contradictions."
where can i check all routes you fly from my city or direct routes?,Check out our [city to city flights page](https://flights.flyfrontier.com/en/sitemap/city-to-city-flights/page-1) to see our direct routes or our [flights from page](https://flights.flyfrontier.com/en/sitemap/flights-from-city/page-1) to see the cities we fly from!,"To help you find all the routes Frontier Airlines flies from your city, could you please provide me with the name of your city or the airport code?","{""query_ease"": 0.7934986089771308, ""brand_safety"": 0.9965174129382437, ""trustworthiness"": 0.8526410497461471, ""topic_restriction"": 0.9965174129381598, ""context_sufficiency"": 0.001, ""suspicious_activity"": 0.9965174129399792, ""response_helpfulness"": 0.5661104631111663, ""response_groundedness"": 0.001}",[],pass,The agent output asks a relevant clarifying question (requests the user's city or airport code) so it attempts to answer the user's query by collecting necessary information to provide the routes. It does not contradict the expected answer and is an acceptable response per the criteria.
"my flight was cancelled, am i eligible for a refund?","Yes. You are eligible for a refund if you did not take your Frontier flight because it was cancelled or experienced a significant schedule change or delay (greater than 3 hours for domestic flights or greater than 6 hours for international flights), or if you did not receive a service you paid for. Refunds only apply if you did not take a rebooked flight (in the case of a cancellation), did not travel on the delayed or rescheduled flight, and did not choose to receive a travel credit instead of a refund.","If your Frontier flight was cancelled, you are eligible for a refund to the original form of payment, provided you did not take a rebooked flight, did not travel on a delayed or rescheduled flight, and did not choose to receive a travel credit instead. You can process your refund through Frontier's portal.","{""query_ease"": 0.9960390839608014, ""brand_safety"": 0.9965174129362229, ""trustworthiness"": 0.9989993196622015, ""topic_restriction"": 0.9965174129384504, ""context_sufficiency"": 0.99651741293604, ""suspicious_activity"": 0.9965174129369284, ""response_helpfulness"": 0.9965174128246275, ""response_groundedness"": 0.996517412935597}",[],pass,"The agent output attempts to answer the query and provides a clear eligibility statement: refunds are available if the flight was cancelled, provided the passenger did not take a rebooked flight, did not travel on the delayed/rescheduled flight, and did not choose travel credit. This does not contradict the expected answer. The agent omitted mention of the specific delay thresholds (greater than 3 hours domestic / greater than 6 hours international) and the scenario of not receiving a paid-for service, but those omissions do not contradict the expected answer. The output is therefore acceptable under the criteria."
"frontier rebooked me after a cancellation but i did not take the new flight. will i get a refund automatically or do i need to request it, and how long will it take to appear?","If you did not take the rebooked flight, you are eligible for a refund. Refunds will be issued to the original form of payment either upon request or automatically after the scheduled departure date. Refunds are processed within seven (7) business days. Frontier notes it is fastest to rebook or to receive a refund by using their portal (https://travel.flyfrontier.com/login).","If you did not take the rebooked flight after a cancellation by Frontier Airlines, you are eligible for a refund. The refund will be issued to the original form of payment either automatically after the scheduled departure date or upon request. The processing time for the refund is within seven business days. If you prefer a faster process, you can request the refund through Frontier's online portal.","{""query_ease"": 0.9965141836566429, ""brand_safety"": 0.9965174127251741, ""trustworthiness"": 0.998999738335879, ""topic_restriction"": 0.9965174129371511, ""context_sufficiency"": 0.99651741293585, ""suspicious_activity"": 0.9965174129372567, ""response_helpfulness"": 0.996517403957685, ""response_groundedness"": 0.9965174129354296}",[],pass,The agent output states that if you did not take the rebooked flight you are eligible for a refund; that refunds are issued to the original form of payment either automatically after the scheduled departure date or upon request; that refunds are processed within seven business days; and that using Frontier’s online portal is the fastest way. This matches the expected answer and contains no contradictions. Therefore the output meets all criteria.
can i transfer marriott bonvoy points to frontier and do i need to enroll in marriott bonvoy to get frontier miles for a hotel stay?,"Yes, you can transfer Marriott Bonvoy points to Frontier Miles. Additionally, to earn Frontier Miles for a hotel stay at a Marriott property, you must be enrolled in the Marriott Bonvoy program. Enrollment is free, and when you register, you should select Frontier Airlines as the airline through which you wish to receive mileage credit.","Yes, you can transfer Marriott Bonvoy points to Frontier Miles. Additionally, to earn Frontier Miles for a hotel stay at Marriott properties, you must be enrolled in the Marriott Bonvoy program. Enrollment is free, and when registering, you should select Frontier Airlines as the airline through which you wish to receive mileage credit.","{""query_ease"": 0.9965174109329474, ""brand_safety"": 0.9965029413062204, ""trustworthiness"": 0.9989993196622015, ""topic_restriction"": 0.9930210691697563, ""context_sufficiency"": 0.996517412935354, ""suspicious_activity"": 0.9965174129403278, ""response_helpfulness"": 0.9965061422978652, ""response_groundedness"": 0.9965174129354363}",[],pass,The agent output directly answers the query: it states Marriott Bonvoy points can be transferred to Frontier Miles and that to earn Frontier Miles for a Marriott hotel stay you must be enrolled in Marriott Bonvoy. It also notes enrollment is free and to select Frontier as the airline for mileage credit. This matches the expected answer and does not contradict it. Therefore it meets all criteria.
how do i check a flight status by flight number?,"On the FlyFrontier website, go to the homepage, hover over My Trips & Travel Info, and select Flight Status. Then enter your flight number and click Search. In the mobile app, open the Frontier app, tap the Status tab, and enter your flight number.","To check a flight status by flight number with Frontier Airlines, you can follow these steps:

1. **Visit the Frontier Airlines website**: Go to the official Frontier Airlines website.

2. **Navigate to the Flight Status section**: Look for a section labeled ""Flight Status"" or similar on the homepage or under the ""Travel Info"" menu.

3. **Enter the Flight Number**: Input the flight number you wish to check. You may also need to enter the date of the flight.

4. **View the Status**: Once you submit the information, you will be able to see the current status of the flight, including any delays, gate information, and estimated arrival times.

Alternatively, you can provide me with the flight number and the date, and I can check the status for you.","{""query_ease"": 0.9965174129360365, ""brand_safety"": 0.9965174129357096, ""trustworthiness"": 0.9229682060953226, ""topic_restriction"": 0.9965174129367629, ""context_sufficiency"": 0.001, ""suspicious_activity"": 0.9965174129370296, ""response_helpfulness"": 0.9962912340692193, ""response_groundedness"": 0.001}",[],pass,"The agent output gives clear step-by-step instructions for checking a Frontier flight status by flight number (visit the Frontier website, find Flight Status, enter flight number/date, view status) and offers to check if the user provides the flight number. This attempts to answer the question and does not contradict the expected answer (it aligns with the expected steps and mobile app option is optional). Therefore it meets all criteria."
how do i get a receipt or itinerary from the website?,"On the website go to Manage Trip and enter your Last Name and Confirmation Code. Once your booking appears you can print your confirmation or click ""Resend Email Itinerary."" Both options will display your flight details and charges.","To get a receipt or itinerary from the Frontier Airlines website, follow these steps:

1. Go to the ""Manage Trip"" section on the Frontier Airlines website.
2. Enter your Last Name and Confirmation Code.
3. You can then print your confirmation or click ""Resend Email Itinerary"" to have it emailed to you.

Alternatively, you can use the FlyFrontier app:

1. Go to ""My Trips"" in the app.
2. Enter your Last Name and Confirmation Code.
3. Tap ""Manage My Booking"" and select ""View Receipt.""
4. You can also tap ""Resend Confirmation Email"" to receive it via email.

These options will display your flight details and charges.","{""query_ease"": 0.9168700885754779, ""brand_safety"": 0.9965174129356156, ""trustworthiness"": 0.9989999017213032, ""topic_restriction"": 0.9965174129364543, ""context_sufficiency"": 0.9965174129354405, ""suspicious_activity"": 0.996517412937897, ""response_helpfulness"": 0.9965174129360802, ""response_groundedness"": 0.9965174129354647}",[],pass,"The agent output directly answers the query by instructing the user to go to Manage Trip on the website, enter Last Name and Confirmation Code, then print the confirmation or click 'Resend Email Itinerary'—which matches the expected answer. It also adds consistent app instructions. No contradictions present. Therefore it meets the criteria."
i just got the frontier airlines world mastercard — when does the free checked bag benefit start and do i need to enroll or wait?,"As the primary cardholder you are already qualified and can start using the benefit immediately. There is no waiting period, no enrollment, and no spend threshold required.","As the primary cardholder of the Frontier Airlines World Mastercard, you are automatically qualified for the free checked bag benefit. There are no additional spend thresholds or opt-ins required. You can start enjoying this benefit immediately.","{""query_ease"": 0.9965174129368655, ""brand_safety"": 0.9965174129306478, ""trustworthiness"": 0.9989998404517361, ""topic_restriction"": 0.9965174129367459, ""context_sufficiency"": 0.9965174129354339, ""suspicious_activity"": 0.9965174129361136, ""response_helpfulness"": 0.9965171788073371, ""response_groundedness"": 0.9965174129356202}",[],pass,"The agent output explicitly states that the primary cardholder is automatically qualified, can start using the benefit immediately, and that there is no enrollment or spend threshold required. This matches the expected answer, so it meets all criteria."
what is included in Frontier first class seating besides meals and drinks,"First Class on Frontier focuses on enhanced seating comforts, specifically spacious seating and extra legroom. Food and beverage options are not provided free as part of First Class; instead, a variety of food and beverage items are available for purchase to all passengers.","Frontier Airlines does not offer a traditional first class cabin. Instead, they focus on providing a low-cost travel experience with optional add-ons. Frontier's seating options include standard seats and stretch seats, which offer more legroom. While meals and drinks are available for purchase, they are not included in the ticket price, and there is no first class service with additional amenities like those found on other airlines. If you have specific questions about seating options or add-ons, feel free to ask!","{""query_ease"": 0.9965172306223666, ""brand_safety"": 0.9669173824080888, ""trustworthiness"": 0.8069062822639013, ""topic_restriction"": 0.9964903765409296, ""context_sufficiency"": 0.001, ""suspicious_activity"": 0.9965174129375156, ""response_helpfulness"": 0.9962912311340967, ""response_groundedness"": 0.001}",[],pass,"The agent output directly answers the query by stating Frontier does not offer a traditional first class and highlights the relevant seating differences: standard and stretch seats with extra legroom. It also correctly notes that meals and drinks are not included and are available for purchase, and that there is no additional first-class service—matching the expected answer. The response attempts to answer (and offers to clarify), does not contradict the expected answer, and therefore meets the criteria."
how do i reset my frontier account password?,"On the website or in the app: select ""Log in or sign up"", tap or click ""Forgot Password?"", then enter the email address or FRONTIER Miles number linked to your account. Check your inbox for the reset link (it may take a few minutes). If you are not sure you have an account you can sign up there. If you still can’t get back in, start a chat with us for help.","To reset your Frontier account password, you can follow these steps either on the website or in the app:

1. Select **Log in or sign up**.
2. Tap or click **Forgot Password?**.
3. Enter the **email address** or **FRONTIER Miles number** linked to your account.
4. Check your inbox for a reset link—it may take a few minutes to arrive.

If you encounter any issues, you can start a [chat with Frontier support](https://www.flyfrontier.com/chat-with-us/) for further assistance.","{""query_ease"": 0.9965174129356729, ""brand_safety"": 0.9965174129357015, ""trustworthiness"": 0.9989976347765325, ""topic_restriction"": 0.9965174129363312, ""context_sufficiency"": 0.9965174129354001, ""suspicious_activity"": 0.9965174129369796, ""response_helpfulness"": 0.9965174129361208, ""response_groundedness"": 0.9965174129353811}",[],pass,"The agent_output directly answers how to reset a Frontier password with the same steps as the expected answer: select “Log in or sign up,” tap/click “Forgot Password?,” enter the email or FRONTIER Miles number, and check the inbox for the reset link. It also advises contacting support via chat if problems persist. No contradictions and it attempts to answer the query."
i dont remember which email i used can i use my FRONTIER Miles number to reset and what if that doesnt work?,"Yes — when you choose ""Forgot Password?"" you may also enter your FRONTIER Miles number that is linked to your account. After submitting, check your inbox for the reset link (it may take a few minutes). If you’re not sure you have an account you can sign up there, and if you still can’t get back in after trying these options, start a chat with us and we’ll help you regain access.","You can reset your password using either the email address or the FRONTIER Miles number linked to your account. Here’s how you can do it:

1. Go to the Frontier Airlines website or app.
2. Select ""Log in or sign up.""
3. Click or tap on ""Forgot Password?""
4. Enter your FRONTIER Miles number (or email address if you remember it).
5. Check your inbox for a reset link, which may take a few minutes to arrive.

If you continue to have trouble, you can start a [chat with Frontier Airlines](https://www.flyfrontier.com/chat-with-us/) for further assistance.","{""query_ease"": 0.9872506816868586, ""brand_safety"": 0.9965174129365802, ""trustworthiness"": 0.9837937402630599, ""topic_restriction"": 0.9965174129372686, ""context_sufficiency"": 0.9965174129351213, ""suspicious_activity"": 0.9965174129410242, ""response_helpfulness"": 0.9965174111687071, ""response_groundedness"": 0.9965174129355063}",[],pass,"The agent output directly answers the user’s question: it confirms you can use your FRONTIER Miles number on the “Forgot Password?” flow, provides steps to do so, tells the user to check their inbox for the reset link (may take a few minutes), and advises starting a chat if they still have trouble. This matches the expected answer and contains no contradictions. Therefore it meets the criteria."
can frontier guarantee a nut free environment on flights?,"No. Frontier cannot guarantee an allergen-free environment on its flights. Because snacks with allergens may be served and other customers may bring nut or allergen-containing products onboard, Frontier cannot promise a nut-free cabin. ","Frontier Airlines cannot guarantee a nut-free environment on its flights. They serve snacks that may contain food allergens, and passengers are allowed to bring their own products, which could include nuts. If you have a severe nut or food allergy, it's advised to notify a flight attendant so they can attempt to inform nearby passengers to refrain from consuming allergen-containing products. However, they cannot prevent passengers from eating their own food. It's recommended to discuss any health concerns with your physician before flying.","{""query_ease"": 0.9965173847996992, ""brand_safety"": 0.9512277447679405, ""trustworthiness"": 0.9989999221445016, ""topic_restriction"": 0.9964341592782832, ""context_sufficiency"": 0.9965174129354196, ""suspicious_activity"": 0.9965174129314822, ""response_helpfulness"": 0.9965174129377203, ""response_groundedness"": 0.9965174129357137}",[],pass,"The agent output directly answers the query by stating Frontier cannot guarantee a nut-free environment, explains why (airline-served snacks may contain allergens and passengers can bring their own food), and gives appropriate practical advice (notify flight attendants, consult physician). It attempts to answer and does not contradict the expected answer, so it meets the criteria."
i have a severe nut allergy what can the crew do for me onboard and can they stop other passengers or service animals from having nuts?,"If you have a severe nut or food allergy, notify a flight attendant on board. The crew can attempt to notify customers seated nearby and ask them to refrain from eating allergen-containing products they brought. However, Frontier cannot prevent any customer from eating products they brought on board and cannot guarantee an allergen-free environment. The airline also cannot prevent service animals or other passengers from bringing items that contain allergens. You should review any health concerns with your physician prior to flying.","Frontier Airlines cannot guarantee an allergen-free environment on its flights, as they cannot prevent passengers from bringing products containing nuts or other allergens onboard, including those associated with service animals. If you have a severe nut allergy, you should notify a flight attendant once onboard. They can attempt to inform nearby passengers to refrain from consuming allergen-containing products, but they cannot enforce this request.

It's advisable to discuss any health concerns with your physician before flying to ensure you have a plan in place for managing your allergy during the flight.","{""query_ease"": 0.9965174109333996, ""brand_safety"": 0.9963412310898989, ""trustworthiness"": 0.9989997485474728, ""topic_restriction"": 0.9962912365307062, ""context_sufficiency"": 0.9965174128076049, ""suspicious_activity"": 0.9965174129367352, ""response_helpfulness"": 0.9965174086957682, ""response_groundedness"": 0.9965174129359533}",[],pass,The agent output directly answers the query: it advises notifying a flight attendant onboard; states crew can attempt to ask nearby passengers to refrain from eating allergen-containing products but cannot enforce it; notes the airline cannot guarantee an allergen-free environment or prevent passengers or service animals from bringing nuts; and recommends discussing health concerns with a physician. This matches the expected answer and contains no contradictions. Therefore it meets all criteria.
can i change my flight for free if i add Flight Flexibility when booking?,"Yes. If you purchase Flight Flexibility at booking (or it’s included in your bundle), your first itinerary change made on flyfrontier.com or the Frontier mobile app more than 24 hours before your first departure will waive the change fee. You can make one change only, and any difference in fare or option prices still applies. Note that Flight Flexibility must be bought at initial booking and is one-time use.","If you add Flight Flexibility when booking your flight with Frontier Airlines, you can make a one-time change to your flight date or time for free, provided you do it at least 24 hours before your first scheduled departure. While the change fee is waived, you will still need to pay any difference in fare. Flight Flexibility can only be added during the booking process on Frontier's website or app, and changes must be made through the ""My Trips"" section on the website or app.","{""query_ease"": 0.9965173934481109, ""brand_safety"": 0.9965174129357612, ""trustworthiness"": 0.9989996668548728, ""topic_restriction"": 0.9965174129365678, ""context_sufficiency"": 0.9965174129354627, ""suspicious_activity"": 0.9965174129369129, ""response_helpfulness"": 0.9965174129364835, ""response_groundedness"": 0.9965174129353785}",[],pass,"The agent output states that purchasing Flight Flexibility at booking allows one one-time change with the change fee waived if made at least 24 hours before the first departure, that any fare difference still applies, and that Flight Flexibility must be added during booking and changes made via the website/app. This matches the expected answer and does not contradict it. Therefore the output meets the criteria."
